n,key,url,classifier,category,spec_areas,confidence,rationale,summary,description,project,issuetype,components,labels,links,haiku_category,haiku_confidence
1,CSHARP-4084,https://jira.mongodb.org/browse/CSHARP-4084,human,test_infrastructure,,low,mentions other driver,Update initial DNS seedlist discovery tests to support dedicated load balancer port,"This ticket was split from {{DRIVERS-2224}}, please see that ticket for a detailed description. ",CSHARP,Bug,,,Issue split:DRIVERS-2224,cross_driver_inconsistency,low
2,SCALA-444,https://jira.mongodb.org/browse/SCALA-444,human,test_infrastructure,,low,Insufficient detail to classify,Resync read write concern tests to add new read concern levels,See DRIVERS-567 for details.,SCALA,Improvement,,,Depends:SPEC-1152|Depends:DRIVERS-567,not_relevant,low
3,NODE-5514,https://jira.mongodb.org/browse/NODE-5514,human,not_relevant,,medium,Insufficient signal,refactor FLE internals to use async-await,"h3. Use Case
As a driver engineer,
I want our FLE logic to use async-await,
So that it is easier to debug, it is easier to maintain and we can ensure we catch errors thrown.

h3. User Impact
n/a - should be internal refactor.

h3. Dependencies
n/a

h3. Unknowns
n/a

h3. Acceptance Criteria

h4. Implementation Requirements
 - Remove callbacks from `MongocryptdManager`, `StateMachine` and `AutoEncrypter` and refactor the methods to be async-await.
 -- Adjust any places in the driver that consume these APIs.
 - Make `Encrypter.close` async.
 - Update all tests in FLE and the driver to use async/await or promises where they were using callbacks.
 - Update the StateMachine's parsing of TLS options to be async
 -- [https://github.com/mongodb/node-mongodb-native/blob/71c593685735a08d5d7503120464a7c23ba20a46/src/client-side-encryption/stateMachine.js#L386]
 - Remove `common.js` now that maybePromise and promiseOrCallback are unused

h4. Testing Requirements
* Our unit tests for MongocryptdManager, StateMachine and AutoEncrypter mock the internal APIs we are modifying.  We'll need to update the unit tests to stub async functions instead of stubbing callback functions.

h4. Documentation Requirements
* n/a

h4. Follow Up Requirements
* n/a",NODE,Improvement,,node-internal,,not_relevant,medium
4,JAVA-4646,https://jira.mongodb.org/browse/JAVA-4646,human,spec_ambiguity_or_gap,,high,"Virtual thread interrupt handling, internal concern.",Deal with consequence of interrupted socket operation throwing SocketException,"When a socket operation is interrupted (say by a call to {{StructuredTaskScope#joinUntil}} that times out, tests show that {{SocketInputStream#read}} throws a {{SocketException}} with the message {{""Closed by interrupt""}} .  The driver will treat that exception according to the rules defined by the SDAM and CMAP specifications, as a network error.  But it should be treated more like {{InterruptedException}}.",JAVA,Improvement,Internal,loom,,not_relevant,high
5,NODE-1890,https://jira.mongodb.org/browse/NODE-1890,human,test_infrastructure,,low,"Improvement ticket, unclear spec impact.",Do not run sharding transaction tests for mongodb < 4.1.5,"Currently the transactions tests will attempt to run against a 4.0.x {{mongos}}, which causes the sharded tests to fail across the board.",NODE,Improvement,Native,,,driver_spec_nonconformance,low
6,MGO-19,https://jira.mongodb.org/browse/MGO-19,human,driver_spec_nonconformance,crud,medium,Bug in spec area: crud.,Change nUpdated to nMatched in bulk api results,,MGO,Improvement,,,Related:DRIVERS-140,driver_spec_nonconformance,medium
7,GODRIVER-3481,https://jira.mongodb.org/browse/GODRIVER-3481,human,test_infrastructure,,low,insufficient signal,Improve JSON tests for Binary Vector Subtype,"This ticket was split from {{DRIVERS-3097}}, please see that ticket for a detailed description. ",GODRIVER,Improvement,BSON,,Issue split:DRIVERS-3097,not_relevant,low
8,CDRIVER-1082,https://jira.mongodb.org/browse/CDRIVER-1082,human,driver_spec_nonconformance,crud,high,Bulk operation splitting ignores write command overhead; BSON size limit.,Proper bulk operation splitting at the margin,"The driver sends a write command to the server if the ""documents"", ""updates"", or ""deletes"" array alone is at most 16MB plus 16K; it should also take into account the additional overhead of the write command (writeConcern, readPreference, etc.) and split the batch if the total command document exceeds 16MB plus 16K.",CDRIVER,Bug,,,Related:CS-27707,avoidable_by_spec_conformance,high
9,JAVA-4523,https://jira.mongodb.org/browse/JAVA-4523,human,not_relevant,,high,Buffer leak with compression; resource management bug.,Buffer is leaked from buffer pool on socket exception,"In {{SocketStream#read}}, the {{ByteBuf}} is not released if an exception is thrown.  As a result the buffer will be GC'd but will not be returned to the buffer pool.  This is a performance issue, but also a correctness issue, as it will result in a permit never being released.  Eventually, an application could run out of permits (although currently there are {{Integer#MAX_VALUE}} permits available so it's unlikely.",JAVA,Bug,Internal,,,avoidable_by_spec_conformance,high
10,CSHARP-2219,https://jira.mongodb.org/browse/CSHARP-2219,human,driver_spec_nonconformance,,medium,matches ci keyword,ClusterClockAdvancingCoreSession should return the greater of the two ClusterTimes,"As part of gossiping the cluster time the driver appends a {{*$clusterTime*}} element to the command sent to the server.

The code in {{*CommandUsingCommandMessageWireProtocol*}} looks like this:

{code}
var clusterTimeElement = new BsonElement(""$clusterTime"", _session.ClusterTime);
extraElements.Add(clusterTimeElement);
{code}

The driver is supposed to send the greater of the session's {{*ClusterTime*}} and the cluster's {{*ClusterTime*}}. The line of code as written above assumes that the {{*_session*}} value is an instance of {{*ClusterClockAdvancingClusterTime*}} and that {{*ClusterClockAdvancingClusterTime*}} will be the one to compare the two {{*ClusterTimes*}} and return the greater of the two.

The current implementation of {{*ClusterClockAdvancingClusterTime*}} neglected to do that.

{{*ClusterClockAdvancingClusterTime*}} needs to override the {{*ClusterTime*}} property to return the greater of the two {{*ClusterTimes*}}.

",CSHARP,Bug,Connectivity,,,not_relevant,medium
